title,description,sector_extracted,job_category,competence_cleaned,company_name,Region,contract_type,niveau d'études requis,niveau d'expérience,posted_date,remote_work
Chef de Projet Télécom (F/H) | Rabat (Maroc),,Gestion,Gestion de Projet,,,,,,,14/05/2025,
Ingénieur Network Cyber Sécurité - Rabat,Missions :- Supervision des équipements réseaux et résolution des tickets N2.- Fournir un support et un suivi de N 2 pour les incidents...,Informatique,Infrastructure,"CISCO, DHCP, FORTINET, NAGIOS, SMTP, TCP, IP, WAN", CNEXIA, Rabat-Salé-Kénitra,,,,07.12.2022 ,
Concepteur Développeur C++ (H/F) - Technopolis | Rabat (Maroc),,"['Informatique', 'Telecom']",Développement,,Sofrecom Maroc,,CDI,,,12/05/2025,Hybride
Helpdesk Agent,Nous recrutons pour notre client basé à Casablanca opérant dans le domaine IT des Helpdesk Agents.Missions :Accueil des demandes des...,Informatique,Science & IA,, TECTRA CASA TERTIAIRE – RECRUTEMENT, Casablanca-Mohammedia,,,,05.07.2022 ,
DLP Expert | Rabat (Maroc),,['Informatique'],Consultation,,Excel Management Conseil,,CDI,,,28/04/2025,Hybride
Ingénieur Pré-production / Intégrateur Technique (H/F),Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,Informatique,Consultation,"APACHE, CFT, JBOSS, MONGODB, ORACLE, POWERSHELL, REDHAT, SHELL, SWIFT, TOMCAT, WEBLOGIC", OBJECTWARE NE, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,,,,21.03.2023 ,
Assistante Digitale et Marketing,"Je cherche une Assistante Digitale et Marketing.Ce Job est dans une toute petite structure, où il y n'y a pour le moment que...",Informatique,Autre,"COMMUNICATION, EMAILING, MARKETING, MARKETING, DIGITAL, NET, PLAN, MARKETING, VENTE", KENZAJOURNEY, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Errachidia...,,,,05.12.2022 ,
Consultant SAP FI-CO/PS (H/F),"Nous recherchons un  Consultant SAP FI-CO/PS (H/F)  pour notre client, une société multinationale dans le domaine des services informatiques. 
	   
	  Mission :  
	   
	 
	 Concevoir, mettre en œuvre, déployer et soutenir les solutions financières SAP pour la finance, la comptabilité, le contrôle des coûts et le contrôle de gestion. 
	 Maintenir les compétences dans la conception et la configuration des processus des applications SAP ; la conception, le développement, l'intégration, les tests et le déploiement des applications SAP ; et l'architecture technique des applications SAP. 
	 Comprendre les exigences de l'entreprise afin de...",Informatique,Science & IA,SAP,AFRICASHORE,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,CDI - Freelance,Bac+3,Expérience entre 2 ans et 5 ans,04.06.2025,
Senior Fullstack Engineer | Rabat (Maroc),,Autre,Développement,,,,,,,09/05/2025,
Développeur Web Front-end Fraîchement Diplômé - Bd Anfa Casablanca,"Pour faire face à son rapide développement, PAUL & JOSÉ recrute un(e) intégrateur débutant pour la découpe et l'intégration de...",Informatique,Science & IA,, PAUL & JOSÉ, Casablanca,,,,16.10.2021 ,
Technicien de Maintenance Informatique (F/H),"Intégré(e) à notre équipe support informatique, vous participez à son développement et devez, entre autres :- Gérer, maintenir et faire...",Informatique,Science & IA,"MAINTENANCE, PRODUCTION, QUALITÉ", PARTNERS FINANCES, Tanger-Tétouan-Al Hoceïma,,,,02.05.2023 ,
