title,description,sector_extracted,job_category,competence_cleaned,company_name,Region,contract_type,niveau d'études requis,niveau d'expérience,posted_date,remote_work
Ingénieur Full-Stack | Casablanca (Maroc),,['Informatique'],Autre,,Deloitte Extended Services,,CDI,,,10/06/2025,Hybride
Test Manager Anglophone (H/F) | Rabat (Maroc),,['Informatique'],Management,,AXA Services Maroc,,CDI,,,10/06/2025,Hybride
Digital Campaign Production Manager | Casablanca (Maroc),,"['Informatique', 'Telecom']",Science & IA,,Orange Business,,CDI,,,10/06/2025,Hybride
Click & Webmaster | Casablanca (Maroc),,"['Informatique', 'Telecom']",Autre,,Orange Business,,CDI,,,10/06/2025,Hybride
Click User Support Manager | Casablanca (Maroc),,"['Informatique', 'Telecom']",Support,,Orange Business,,CDI,,,10/06/2025,Hybride
Product Owner | Casablanca (Maroc),,['Informatique'],Gestion de Projet,,Orange Business,,CDI,,,10/06/2025,Hybride
IT Talent Acquisition | Tanger (Maroc),,['Informatique'],Autre,,Akkodis Maroc,,CDI,,,09/06/2025,Hybride
Test QA Technico fonctionnel Sénior | Rabat (Maroc),,['Informatique'],Autre,,ALTEN Maroc,,CDI,,,06/06/2025,Hybride
Dev Fullstack Expérimenté Java / Angular | Rabat (Maroc),,['Informatique'],Développement,,ALTEN Maroc,,CDI,,,06/06/2025,Hybride
Responsable Support IT | Casablanca (Maroc),,"['Informatique', 'Internet / Multimédia']",Support,,Tersea,,CDI,,,06/06/2025,Hybride
Responsable Infrastructure IT (Systèmes & Réseaux) | Casablanca (Maroc),,"['Informatique', 'Internet / Multimédia']",Infrastructure,,Tersea,,CDI,,,06/06/2025,Hybride
Chef de Projet Technique (Infrastructure IT) | Maroc (Maroc),,"['Informatique', 'Internet / Multimédia']",Gestion de Projet,,Tersea,,CDI,,,06/06/2025,Hybride
Ingénieur Réseau – Casablanca | Casablanca (Maroc),,"['Informatique', 'Internet / Multimédia']",Infrastructure,,Tersea,,CDI,,,06/06/2025,Non
Dev Full Stack Sénior Java / Javascript | Rabat (Maroc),,['Informatique'],Développement,,ALTEN Maroc,,CDI,,,06/06/2025,Hybride
IT Tech Team Lead H/F | Rabat (Maroc),,['Informatique'],Management,,Cnexia,,CDI,,,05/06/2025,Non
Product Owner – Care & Payment (h/f) | Casablanca (Maroc),,['Informatique'],Gestion de Projet,,Sofrecom Maroc,,CDI,,,05/06/2025,Hybride
Max IT Chief Coordinator & E-commerce Manager (h/f) | Casablanca (Maroc),,['Informatique'],Management,,Sofrecom Maroc,,CDI,,,05/06/2025,Hybride
Digital Product Manager (H/F) | Casablanca (Maroc),,['Informatique'],Management,,Sofrecom Maroc,,CDI,,,05/06/2025,Hybride
Développeur backend .NET Core (H/F) | Casablanca (Maroc),,['Informatique'],Développement,,Oceane Consulting IT Maroc,,CDI,,,05/06/2025,Non
Expert IT Support N2 | Rabat (Maroc),,['Informatique'],Consultation,,ALTEN Maroc,,CDI,,,05/06/2025,Hybride
Consultant GCP (H/F) | Casablanca (Maroc),,['Informatique'],Consultation,,Capgemini,,CDI,,,04/06/2025,Hybride
Ingénieur Réseaux et Télécoms Junior | Casablanca (Maroc),,['Informatique'],Infrastructure,,Eca Assurances,,CDI,,,04/06/2025,Non
Consultant Support SI Qualité | Rabat (Maroc),,['Informatique'],Consultation,,ALTEN Maroc,,CDI,,,04/06/2025,Hybride
Chef de Projet BI | Casablanca (Maroc),,"['Informatique', 'Autres services']",Gestion de Projet,,CAC (Centrale Automobile Chérifienne),,CDI,,,04/06/2025,Non
Responsable Sécurité des Systèmes d’Information | Rabat (Maroc),,"['Informatique', 'Internet / Multimédia']",Infrastructure,,Université Internationale de Rabat (UIR),,CDI,,,04/06/2025,Non
Change Management Consultant | Casablanca (Maroc),,['Informatique'],Consultation,,Leyton,,CDI,,,04/06/2025,Hybride
Support Technique sur Réseaux Cuivre et Fibre (H/F) | Rabat (Maroc),,"['Informatique', 'Telecom']",Infrastructure,,AFD.Tech,,CDI,,,03/06/2025,Hybride
Développeur(se) Full Stack PHP | Rabat (Maroc),,"['Informatique', 'Telecom']",Développement,,ALTEN Maroc,,CDI,,,03/06/2025,Non
Data Engineer | Fès (Maroc),,['Informatique'],Autre,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Consultant Support FAI | Fès (Maroc),,"['Informatique', 'Telecom']",Science & IA,,ALTEN Maroc,,Intérim,,,03/06/2025,Non
DevOps junior (H/F) | Rabat (Maroc),,['Informatique'],Infrastructure,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
DevOps confirmé (H/F) | Rabat (Maroc),,['Informatique'],Infrastructure,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Data Engineer confirmé (H/F) | Rabat (Maroc),,['Informatique'],Autre,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Data Analyst confirmé (H/F) | Rabat (Maroc),,['Informatique'],Analyse,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Consultant SAP/BO | Rabat (Maroc),,['Informatique'],Consultation,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Data Engineer Expérimenté DBT / SQL / BigQuery | Rabat (Maroc),,['Informatique'],Analyse,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Coordinateur(trice) de Projet Réseau (H/F) | Rabat (Maroc),,['Informatique'],Infrastructure,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Ingénieur Support FAI | Fès (Maroc),,['Informatique'],Science & IA,,ALTEN Maroc,,Autre,,,03/06/2025,Hybride
Data Analyst (H/F) | Rabat (Maroc),,['Informatique'],Analyse,,ALTEN Maroc,,CDI,,,03/06/2025,Non
Ingénieur Devops | Rabat (Maroc),,['Informatique'],Infrastructure,,ALTEN Maroc,,CDI,,,03/06/2025,Non
Stagiaires PFE 2025- Analyste des données financières | Fès (Maroc),,['Informatique'],Science & IA,,ALTEN Maroc,,Stage,,,03/06/2025,Non
DevOps Engineer (H/F) | Rabat (Maroc),,['Informatique'],Infrastructure,,ALTEN Maroc,,CDI,,,03/06/2025,Hybride
Consultant Support FAI (H/F) | Fès (Maroc),,['Informatique'],Science & IA,,ALTEN Maroc,,Intérim,,,03/06/2025,Hybride
Responsable Qualification (H/F) | Casablanca (Maroc),,"['Informatique', 'Internet / Multimédia']",Management,,Sofrecom Maroc,,CDI,,,03/06/2025,Hybride
Consultant fonctionnel & Méthodologie Pilotage et contrôle Anglophone (F/H) | Rabat (Maroc),,"['Informatique', 'Internet / Multimédia']",Consultation,,CGI Technologies et Solutions Maroc,,CDI,,,03/06/2025,Hybride
Architecte Cloud (H/F) | Casablanca (Maroc),,['Informatique'],Infrastructure,,Sofrecom Maroc,,CDI,,,03/06/2025,Hybride
Concepteur Développeur Fullstack (H/F) | Casablanca (Maroc),,"['Informatique', 'Internet / Multimédia']",Développement,,Sofrecom Maroc,,CDI,,,03/06/2025,Hybride
Technical Lead Full Stack Java/Angular Senior (F/H) | Casablanca (Maroc),,['Informatique'],Développement,,CGI Technologies et Solutions Maroc,,CDI,,,03/06/2025,Hybride
Ingénieur Intégration H/F | Rabat (Maroc),,['Informatique'],Autre,,Université Internationale de Rabat (UIR),,CDI,,,02/06/2025,Non
Ingénieur DevOps (H/F) | Rabat (Maroc),,"['Informatique', 'Internet / Multimédia']",Infrastructure,,Sofrecom Maroc,,CDI,,,02/06/2025,Hybride
Testeur(se) QA Automatisation | Casablanca (Maroc),,"['Informatique', 'Autres Industries']",Autre,,Akkodis Maroc,,CDI,,,02/06/2025,Non
Intermediate Automation Software Engineer | Casablanca (Maroc),,['Informatique'],Développement,,Leyton,,CDI,,,02/06/2025,Hybride
Senior Odoo Software Engineer | Casablanca (Maroc),,['Informatique'],Développement,,Leyton,,CDI,,,02/06/2025,Hybride
Senior Business Intelligence Consultant / BI Lead | Casablanca (Maroc),,['Informatique'],Analyse,,Leyton,,CDI,,,02/06/2025,Hybride
Talent Acquisition Specialist | Casablanca (Maroc),,['Informatique'],Consultation,,Leyton,,CDI,,,30/05/2025,Hybride
Déposez votre #CandidatureSpontanée. | Casablanca (Maroc),,"['Informatique', 'Recrutement / Intérim']",Autre,,ReKrute,,CDI,,,30/05/2025,Non
Site Reliability Engineer | Rabat (Maroc),,['Informatique'],Analyse,,ALTEN Maroc,,CDI,,,30/05/2025,Hybride
Chargé(e) de recrutement IT | Rabat (Maroc),,['Informatique'],Autre,,Excel Management Conseil,,CDI,,,29/05/2025,Hybride
Commercial (H/F) | Casablanca (Maroc),,['Informatique'],Autre,,Devink,,CDI,,,29/05/2025,Non
Webmaster | Casablanca (Maroc),,['Informatique'],Autre,,Devink,,CDI,,,29/05/2025,Non
Account Manager (H/F) | Casablanca (Maroc),,['Informatique'],Management,,Devink,,CDI,,,29/05/2025,Non
Ingénieur intégration logiciel (H/F) | Rabat (Maroc),,"['Informatique', 'Internet / Multimédia']",Autre,,Sofrecom Maroc,,CDI,,,29/05/2025,Hybride
MPI Testing – QA Engineer - Manual  Testing AZURE - | Rabat (Maroc),,['Informatique'],Autre,,Excel Management Conseil,,CDI,,,28/05/2025,Hybride
GO Product Security Officer | Rabat (Maroc),,['Informatique'],Infrastructure,,Excel Management Conseil,,CDI,,,28/05/2025,Hybride
Operations Security Analyst | Rabat (Maroc),,['Informatique'],Infrastructure,,Excel Management Conseil,,CDI,,,28/05/2025,Hybride
Security Consultancy | Rabat (Maroc),,['Informatique'],Infrastructure,,Excel Management Conseil,,CDI,,,28/05/2025,Hybride
Ingénieur Anglophone Junior (H/F) | Casablanca (Maroc),,"['Informatique', 'Autres services']",Autre,,Carl Rogers Consulting,,CDI,,,28/05/2025,Non
