title,remote_work,contract_type,Competence,end_date,company_description,requirements,niveau d'expérience,company_name,niveau d'études requis,number_of_positions,url,description,Region,sector,posted_date,id
Ingénieur Full-Stack | Casablanca (Maroc),Hybride,CDI,,10/08/2025,"«Tous nos postes sont ouverts au télétravail.» Rejoindre Deloitte, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour....","Quel sera votre rôle dans la #TeamDeloitte ? Dans le double contexte de transformation des métiers de la finance et du fort développement de nos activités Data Analytics, nous étoffons nos équipes en recrutant un...",,Deloitte Extended Services,,,/offre-emploi-ingenieur-full-stack-recrutement-deloitte-extended-services-casablanca-172312.html,,,['Informatique'],10/06/2025,172312
Test Manager Anglophone (H/F) | Rabat (Maroc),Hybride,CDI,,10/08/2025,"AXA Services Maroc est le centre d'expertise en relation client au Maroc des sociétés : AXA France, AXA Direct France et AXA Assistance Présents à Rabat depuis mai 2004 et à Kénitra depuis 2024, nous...","Rattaché(e) au Responsable testing, le Test Manager assure la gestion de l’équipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production. Dans ce cadre il : Manage...",,AXA Services Maroc,,,/offre-emploi-test-manager-anglophone-hf-recrutement-axa-services-maroc-rabat-172303.html,,,['Informatique'],10/06/2025,172303
Digital Campaign Production Manager | Casablanca (Maroc),Hybride,CDI,,10/08/2025,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...","About the role Within the ""Campaign Production"" team, the ""Campaign Manager"" oversees the implementation and smooth execution of Marketing Automation campaigns directed at Orange Business clients and prospects (France and International...",,Orange Business,,,/offre-emploi-digital-campaign-production-manager-recrutement-orange-business-casablanca-172286.html,,,"['Informatique', 'Telecom']",10/06/2025,172286
Click & Webmaster | Casablanca (Maroc),Hybride,CDI,,21/06/2025,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...","As a Webmaster & Digital analytics specialist, you will contribute to the management and optimization of the Orange Wholesale International website, the Click portal, and occasionally other Orange sites, working closely with the Digital Platforms...",,Orange Business,,,/offre-emploi-click-webmaster-recrutement-orange-business-casablanca-170818.html,,,"['Informatique', 'Telecom']",10/06/2025,170818
Click User Support Manager | Casablanca (Maroc),Hybride,CDI,,21/06/2025,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...","Role is with Orange Wholesale Division -Orange Wholesale International The Click User Support Manager position is essential for ensuring an optimal user experience for our customers utilizing our digital assets, such as the Click portal and Click...",,Orange Business,,,/offre-emploi-click-user-support-manager-recrutement-orange-business-casablanca-170817.html,,,"['Informatique', 'Telecom']",10/06/2025,170817
Product Owner | Casablanca (Maroc),Hybride,CDI,,21/06/2025,"Orange Business est l’entité du Groupe Orange qui accompagne les entreprises et organisations dans leur transformation digitale. Forts de 29 100 collaborateurs à travers le monde, nous concilions présence globale et approche locale...","Au sein de la direction Product and Marketing / Direction Digital B2B d’Orange Business : En tant que Product Owner et Manager sur les parcours IAM – Data et Performance, venez construire les parcours clients et utilisateurs de la prochaine...",,Orange Business,,,/offre-emploi-product-owner-recrutement-orange-business-casablanca-170795.html,,,['Informatique'],10/06/2025,170795
IT Talent Acquisition | Tanger (Maroc),Hybride,CDI,,09/08/2025,Akkodis est un leader mondial sur le marché de l'ingénierie et de la R&D qui s'appuie sur la puissance des données connectées pour accélérer l'innovation et la transformation numérique. Avec...,Identifier et recruter des talents IT. Définir les besoins en collaboration avec les équipes techniques et rédiger les offres. Sourcer activement des profils sur les jobboards et réseaux professionnels. Mener les...,,Akkodis Maroc,,,/offre-emploi-it-talent-acquisition-recrutement-akkodis-maroc-tanger-172266.html,,,['Informatique'],09/06/2025,172266
Test QA Technico fonctionnel Sénior | Rabat (Maroc),Hybride,CDI,,06/08/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Concevoir, développer et maintenir des applications robustes et scalables avec les technologies Java et Angular Expérience appréciée avec la Programmation Réactive. Expériences avec les bases de données...",,ALTEN Maroc,,,/offre-emploi-test-qa-technico-fonctionnel-senior-recrutement-alten-maroc-rabat-172263.html,,,['Informatique'],06/06/2025,172263
Dev Fullstack Expérimenté Java / Angular | Rabat (Maroc),Hybride,CDI,,06/08/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Concevoir, développer et maintenir des applications robustes et scalables avec les technologies Java et Angular Expérience appréciée avec la Programmation Réactive. Expériences avec les bases de données...",,ALTEN Maroc,,,/offre-emploi-dev-fullstack-experimente-java-angular-recrutement-alten-maroc-rabat-172258.html,,,['Informatique'],06/06/2025,172258
Responsable Support IT | Casablanca (Maroc),Hybride,CDI,,06/08/2025,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...","Sous l’autorité directe du Directeur des Systèmes d’Information, le Responsable Support assure la supervision opérationnelle du support technique : maintien en condition opérationnelle des postes de travail, pilotage...",,Tersea,,,/offre-emploi-responsable-support-it-recrutement-tersea-casablanca-172256.html,,,"['Informatique', 'Internet / Multimédia']",06/06/2025,172256
