title,url,posted_date,end_date,number_of_positions,company_description,requirements
"QA Software Architect - $5000/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-qa-software-architect---5000month---remote-work-casablanca-rabat-fez-87825.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire QA Software Architects ($60K/yr)

Online Hiring Events are live forums designed to..."
"L3 Product Support Engineer - $8300/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-l3-product-support-engineer---8300month---remote-work-casablanca-rabat-fez-87823.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire L3 Product Support Engineers ($100K/yr)

Online Hiring Events are live forums..."
"L2 Customer Support Architect - $5000/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-l2-customer-support-architect---5000month---remote-work-casablanca-rabat-fez-87822.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire L2 Customer Support Architects ($60K/yr).

Online Hiring Events are live forums..."
"L1 Customer Support Engineer - $2500/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-l1-customer-support-engineer---2500month---remote-work-casablanca-rabat-fez-87821.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover  connects  talent  from around the world with companies who are looking to hire only the best. We have ...","We're running an Online Hiring Event this coming Saturday to hire L1 Customer Support Engineers ($30k/year).

Online Hiring Events are live forums..."
"Financial Analyst (English) - $2500/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-financial-analyst-english---2500month---remote-work-casablanca-rabat-fez-87818.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire Financial Analysts ($30k/yr).

Online Hiring Events are live forums designed to enable you..."
"NetSuite Chief Architect - $8300/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-netsuite-chief-architect---8300month---remote-work-casablanca-rabat-fez-87817.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire NetSuite Chief Architects ($100K/yr).

Online Hiring Events are live forums designed..."
"Android Software Engineer - $2500/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-android-software-engineer---2500month---remote-work-casablanca-rabat-fez-87814.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire Android Software Engineers ($30k/yr)

Online Hiring Events are live forums designed..."
"PHP Software Architect - $5000/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-php-software-architect---5000month---remote-work-casablanca-rabat-fez-87813.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire PHP Software Architects ($60K/yr).

Online Hiring Events are live forums designed to..."
"Javascript Software Architect - $5000/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-javascript-software-architect---5000month---remote-work-casablanca-rabat-fez-87812.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire JavaScript Software Architects ($60K/yr).

Online Hiring Events are live forums designed..."
"C# (.NET) Software Architect - $5000/month - Remote Work | Casablanca, Rabat, Fez (Maroc)",http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-crossover-recrutement-c-.net-software-architect---5000month---remote-work-casablanca-rabat-fez-87811.html,09/11/2018,09/01/2019,10,"Who is Crossover? 

Crossover connects talent from around the globe with companies who are looking to hire only the best. We have more than 1850+ people...","We're running an Online Hiring Event this coming Saturday to hire C# (.NET) Software Architects ($60K/yr).

Online Hiring Events are live forums..."
Team Leader (F/H) | Casablanca (Maroc),http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-atos-maroc-recrutement-team-leader-fh-casablanca-87788.html,09/11/2018,09/01/2019,4,"Atos SE (Société Européenne), est un leader de services numériques avec un chiffre d’affaires annuel pro forma de...","vous assurez les responsabilités suivantes :


	Organiser, planifier et coordonner l’équipe au quotidien,
	Animer son..."
Développeurs PHP- Symfony Confirmés (H/F) | Casablanca (Maroc),http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-capgemini-recrutement-developpeurs-php--symfony-confirmes-hf-casablanca-87787.html,09/11/2018,09/01/2019,1,"Fort de plus de 180 000 collaborateurs et présent dans plus de 40 pays, Capgemini est l’un des leaders mondiaux du conseil, des services...","Fort d'une présence au Maroc depuis 2007, Capgemini TS Maroc se positionne aujourd'hui en tant que leader sur le marché. Dans le cadre de..."
Consultant PL/SQL et FORMS | Casablanca (Maroc),http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-atos-maroc-recrutement-consultant-plsql-et-forms-casablanca-87786.html,09/11/2018,09/01/2019,10,"Atos SE (Société Européenne), est un leader de services numériques avec un chiffre d’affaires annuel pro forma de...","Votre mission :
En tant que Consultant PL/SQL et FORMS Sénior vous contribuez :

 

 


	à la mise en place et à la..."
Stage – Chargé (e ) de Recrutement BPO (H/F) | Casablanca (Maroc),http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-cgi-technologies-et-solutions-maroc-recrutement-stage-charge-e-de-recrutement-bpo-hf-casablanca-87748.html,09/11/2018,09/01/2019,1,"Fondé en 1976, Groupe CGI inc. est la cinquième plus importante entreprise indépendante de services en technologies de l’information...","Dans le cadre du développement de notre centre de production BPO, nous recrutons un stagiaire PFE en Ressources Humaines/Recrutement.

Au sein..."
Technicien Service Desk | sala al jadida (Maroc),http://www.rekrute.com/web/20181109202217/http://www.rekrute.com/emploi-confidentiel-recrutement-technicien-service-desk-sala-al-jadida-87769.html,09/11/2018,09/01/2019,2,Groupe européen opérant dans le secteur IT,"Vos principales missions en tant que Technicien Service Desk :


	Résoudre les incidents techniques du client.
	Assurer le traitement des demandes des..."
